m,word,D,L,n_optimal,min_tax_a1,note
9,122212212,3,3,1,SKIPPED(m>8),
9,122212221,3,3,1,SKIPPED(m>8),
9,122212222,2,2,1,SKIPPED(m>8),
9,122221111,5,5,1,SKIPPED(m>8),
9,122221112,4,4,1,SKIPPED(m>8),
9,122221121,4,4,1,SKIPPED(m>8),
9,122221122,3,3,1,SKIPPED(m>8),
9,122221211,4,4,1,SKIPPED(m>8),
9,122221212,3,3,1,SKIPPED(m>8),
9,122221221,3,3,1,SKIPPED(m>8),
9,122221222,2,2,1,SKIPPED(m>8),
9,122222111,4,4,1,SKIPPED(m>8),
9,122222112,3,3,1,SKIPPED(m>8),
9,122222121,3,3,1,SKIPPED(m>8),
9,122222122,2,2,1,SKIPPED(m>8),
9,122222211,3,3,1,SKIPPED(m>8),
9,122222212,2,2,1,SKIPPED(m>8),
9,122222221,2,2,1,SKIPPED(m>8),
9,122222222,1,1,1,SKIPPED(m>8),
9,211111111,8,8,1,SKIPPED(m>8),
9,211111112,7,7,1,SKIPPED(m>8),
9,211111121,7,7,1,SKIPPED(m>8),
9,211111122,6,6,1,SKIPPED(m>8),
