label,family,N,m,steps,D,d_rat,support_start,support_end,method,elapsed_sec
heartbeat,hybrid_rev,300,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,350,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,357,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,358,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,358,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,358,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,358,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,358,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,358,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,358,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,358,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
