m,word_label,word,a_seq,L,slack_bound,k_star_1indexed,chain_max,rho_at_kstar,rho_mod3,rho_mod9,rho_mod27,left_loop_ray_exact,left_1ray_mod3_coarse,g_at_kstar,g_loop_at_kstar,diff_g_minus_gloop,residue_independent_check
7,random095,2112121,"2,4,3,2,1,1,2",4,5,3,5,13,1,4,13,True,False,5,2,3,True
7,random098,2211112,"2,4,3,2,1,1,2",4,5,4,5,17,2,8,17,True,True,5,2,3,True
7,random099,2121221,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random100,1112111,"2,2,2,2,2,4,1",6,7,6,7,5,2,5,5,True,True,7,5,2,True
7,random100,1112111,"2,2,4,3,2,1,1",6,7,5,7,17,2,8,17,True,True,7,4,3,True
7,random100,1112111,"2,4,3,2,1,1,2",6,7,7,7,9,0,0,9,True,True,7,6,1,True
7,random102,1222121,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random102,1222121,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random103,1221121,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random103,1221121,"2,4,3,2,1,1,2",4,5,4,5,17,2,8,17,True,True,5,2,3,True
7,random105,2112112,"2,4,3,2,1,1,2",4,5,3,5,13,1,4,13,True,False,5,2,3,True
7,random108,2221211,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random108,2221211,"2,2,4,3,2,1,1",3,4,4,4,13,1,4,13,True,False,4,1,3,True
7,random108,2221211,"2,4,3,2,1,1,2",3,4,4,4,17,2,8,17,True,True,4,1,3,True
7,random110,1221111,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random110,1221111,"2,2,4,3,2,1,1",5,6,5,6,17,2,8,17,True,True,6,3,3,True
7,random110,1221111,"2,4,3,2,1,1,2",5,6,7,6,9,0,0,9,True,True,6,5,1,True
7,random111,1112112,"2,4,3,2,1,1,2",5,6,3,6,13,1,4,13,True,False,6,3,3,True
7,random112,1122111,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random112,1122111,"2,2,4,3,2,1,1",5,6,5,6,17,2,8,17,True,True,6,3,3,True
7,random112,1122111,"2,4,3,2,1,1,2",5,6,7,6,9,0,0,9,True,True,6,5,1,True
7,random114,2112211,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random114,2112211,"2,2,4,3,2,1,1",4,5,4,5,13,1,4,13,True,False,5,2,3,True
7,random114,2112211,"2,4,3,2,1,1,2",4,5,3,5,13,1,4,13,True,False,5,2,3,True
7,random115,1121221,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random117,2222121,"2,2,2,2,2,4,1",2,3,6,3,5,2,5,5,True,True,3,1,2,True
7,random117,2222121,"2,4,3,2,1,1,2",2,3,3,3,13,1,4,13,True,False,3,0,3,True
7,random118,1112211,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
