family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,note
golden-per8,7,81,4,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,5,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,7,5,,NO_RAY_TOUCHED,,
golden-per8,7,81,8,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,10,1,,NO_RAY_TOUCHED,,
golden-per8,7,81,11,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,13,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,14,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,16,6,,NO_RAY_TOUCHED,,
golden-per8,7,81,17,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,19,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,20,0,,NO_RAY_TOUCHED,,
golden-per8,7,81,22,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,23,5,,NO_RAY_TOUCHED,,
golden-per8,7,81,25,5,,NO_RAY_TOUCHED,,
golden-per8,7,81,26,1,,NO_RAY_TOUCHED,,
golden-per8,7,81,28,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,29,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,31,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,32,5,,NO_RAY_TOUCHED,,
golden-per8,7,81,34,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,35,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,37,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,38,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,40,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,41,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,43,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,44,1,,NO_RAY_TOUCHED,,
golden-per8,7,81,46,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,47,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,49,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,50,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,52,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,53,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,55,5,,NO_RAY_TOUCHED,,
golden-per8,7,81,56,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,58,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,59,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,61,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,62,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,64,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,65,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,67,1,,NO_RAY_TOUCHED,,
golden-per8,7,81,68,3,,NO_RAY_TOUCHED,,
golden-per8,7,81,70,5,,NO_RAY_TOUCHED,,
golden-per8,7,81,71,0,,NO_RAY_TOUCHED,,
golden-per8,7,81,73,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,74,2,,NO_RAY_TOUCHED,,
golden-per8,7,81,76,1,,NO_RAY_TOUCHED,,
golden-per8,7,81,77,4,,NO_RAY_TOUCHED,,
golden-per8,7,81,79,6,,NO_RAY_TOUCHED,,
