alphabet,m,word,D,L,is_break,min_k_g_loop,predicted_break,agree
"{1,2,3}",6,121311,3,3,False,0,False,True
"{1,2,3}",6,121312,2,2,False,0,False,True
"{1,2,3}",6,121313,2,2,False,0,False,True
"{1,2,3}",6,121321,2,2,False,0,False,True
"{1,2,3}",6,121322,2,2,False,0,False,True
"{1,2,3}",6,121323,2,2,False,0,False,True
"{1,2,3}",6,121331,2,2,False,0,False,True
"{1,2,3}",6,121332,2,2,False,0,False,True
"{1,2,3}",6,121333,2,2,False,-1,True,False
"{1,2,3}",6,122111,4,4,False,0,False,True
"{1,2,3}",6,122112,3,3,False,0,False,True
"{1,2,3}",6,122113,3,3,False,0,False,True
"{1,2,3}",6,122121,3,3,False,0,False,True
"{1,2,3}",6,122122,2,2,False,0,False,True
"{1,2,3}",6,122123,2,2,False,0,False,True
"{1,2,3}",6,122131,2,2,False,0,False,True
"{1,2,3}",6,122132,2,2,False,0,False,True
"{1,2,3}",6,122133,2,2,False,0,False,True
"{1,2,3}",6,122211,3,3,False,0,False,True
"{1,2,3}",6,122212,2,2,False,0,False,True
"{1,2,3}",6,122213,2,2,False,0,False,True
"{1,2,3}",6,122221,2,2,False,0,False,True
"{1,2,3}",6,122222,1,1,False,0,False,True
"{1,2,3}",6,122223,1,1,False,0,False,True
"{1,2,3}",6,122231,1,1,False,0,False,True
"{1,2,3}",6,122232,1,1,False,0,False,True
"{1,2,3}",6,122233,1,1,False,-1,True,False
"{1,2,3}",6,122311,2,2,False,0,False,True
"{1,2,3}",6,122312,1,1,False,0,False,True
"{1,2,3}",6,122313,1,1,False,0,False,True
"{1,2,3}",6,122321,1,1,False,0,False,True
"{1,2,3}",6,122322,1,1,False,0,False,True
"{1,2,3}",6,122323,1,1,False,-1,True,False
"{1,2,3}",6,122331,1,1,False,-1,True,False
"{1,2,3}",6,122332,1,1,False,-1,True,False
"{1,2,3}",6,122333,1,1,False,-2,True,False
"{1,2,3}",6,123111,3,3,False,0,False,True
"{1,2,3}",6,123112,2,2,False,0,False,True
"{1,2,3}",6,123113,2,2,False,0,False,True
"{1,2,3}",6,123121,2,2,False,0,False,True
"{1,2,3}",6,123122,1,1,False,0,False,True
"{1,2,3}",6,123123,1,1,False,0,False,True
"{1,2,3}",6,123131,1,1,False,0,False,True
"{1,2,3}",6,123132,1,1,False,0,False,True
"{1,2,3}",6,123133,1,1,False,-1,True,False
"{1,2,3}",6,123211,2,2,False,0,False,True
"{1,2,3}",6,123212,1,1,False,0,False,True
"{1,2,3}",6,123213,1,1,False,0,False,True
"{1,2,3}",6,123221,1,1,False,0,False,True
"{1,2,3}",6,123222,1,1,False,0,False,True
"{1,2,3}",6,123223,1,1,False,-1,True,False
"{1,2,3}",6,123231,1,1,False,-1,True,False
"{1,2,3}",6,123232,1,1,False,-1,True,False
"{1,2,3}",6,123233,1,1,False,-2,True,False
"{1,2,3}",6,123311,1,1,False,-1,True,False
"{1,2,3}",6,123312,1,1,False,-1,True,False
"{1,2,3}",6,123313,1,1,False,-1,True,False
"{1,2,3}",6,123321,1,1,False,-1,True,False
"{1,2,3}",6,123322,1,1,False,-1,True,False
"{1,2,3}",6,123323,1,1,False,-2,True,False
"{1,2,3}",6,123331,1,1,False,-2,True,False
"{1,2,3}",6,123332,1,1,False,-2,True,False
"{1,2,3}",6,123333,1,1,False,-3,True,False
