alphabet,m,word,D_ceil,L,min_g_loop
"{1,2,3}",7,1232331,2,1,-2
"{1,2,3}",7,1233111,3,2,-1
"{1,2,3}",7,1233112,3,1,-1
"{1,2,3}",7,1233113,3,1,-1
"{1,2,3}",7,1233121,3,1,-1
"{1,2,3}",7,1233122,3,1,-1
"{1,2,3}",7,1233123,3,1,-1
"{1,2,3}",7,1233131,3,1,-1
"{1,2,3}",7,1233132,3,1,-1
"{1,2,3}",7,1233133,3,1,-2
"{1,2,3}",7,1233211,2,1,-1
"{1,2,3}",7,1233212,2,1,-1
"{1,2,3}",7,1233213,2,1,-1
"{1,2,3}",7,1233221,2,1,-1
"{1,2,3}",7,1233222,2,1,-1
"{1,2,3}",7,1233223,2,1,-2
"{1,2,3}",7,1233231,2,1,-2
"{1,2,3}",7,1233232,2,1,-2
"{1,2,3}",7,1233233,2,1,-3
"{1,2,3}",7,1233311,2,1,-2
"{1,2,3}",7,1233312,2,1,-2
"{1,2,3}",7,1233313,2,1,-2
"{1,2,3}",7,1313311,3,1,-1
"{1,2,3}",7,1313312,3,1,-1
"{1,2,3}",7,1313313,3,1,-1
"{1,2,3}",7,1313321,2,1,-1
"{1,2,3}",7,1313322,2,1,-1
"{1,2,3}",7,1313323,2,1,-2
"{1,2,3}",7,1313331,2,1,-2
"{1,2,3}",7,1322311,3,1,-1
"{1,2,3}",7,1322312,3,1,-1
"{1,2,3}",7,1322313,3,1,-1
"{1,2,3}",7,1322321,2,1,-1
"{1,2,3}",7,1322322,2,1,-1
"{1,2,3}",7,1322323,2,1,-2
"{1,2,3}",7,1322331,2,1,-2
"{1,2,3}",7,1323111,3,2,-1
"{1,2,3}",7,1323112,3,1,-1
"{1,2,3}",7,1323113,3,1,-1
"{1,2,3}",7,1323121,3,1,-1
"{1,2,3}",7,1323122,3,1,-1
"{1,2,3}",7,1323123,3,1,-1
"{1,2,3}",7,1323131,3,1,-1
"{1,2,3}",7,1323132,3,1,-1
"{1,2,3}",7,1323133,3,1,-2
"{1,2,3}",7,1323211,2,1,-1
"{1,2,3}",7,1323212,2,1,-1
"{1,2,3}",7,1323213,2,1,-1
"{1,2,3}",7,1323221,2,1,-1
"{1,2,3}",7,1323222,2,1,-1
